Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
closeBrowser(),Chrome 116.0.0.0,,,2023-09-18 14:51:57,2023-09-18 14:51:57,0.671s,PASSED
,,,,,,,
Test Cases/TC_0022,Chrome 116.0.0.0,,,2023-09-18 14:51:57,2023-09-18 14:52:08,10.361s,PASSED
"openBrowser("""")",Chrome 116.0.0.0,,,2023-09-18 14:51:58,2023-09-18 14:51:59,1.315s,PASSED
"navigateToUrl(""https://www.google.com/"")",Chrome 116.0.0.0,,,2023-09-18 14:51:59,2023-09-18 14:52:05,6.172s,PASSED
"click(findTestObject(""Object Repository/Page_Google/a_""))",Chrome 116.0.0.0,,,2023-09-18 14:52:05,2023-09-18 14:52:07,1.846s,PASSED
closeBrowser(),Chrome 116.0.0.0,,,2023-09-18 14:52:07,2023-09-18 14:52:08,0.664s,PASSED
,,,,,,,
Test Cases/TC_0023,Chrome 116.0.0.0,,,2023-09-18 14:52:08,2023-09-18 14:52:18,10.012s,PASSED
"openBrowser("""")",Chrome 116.0.0.0,,,2023-09-18 14:52:08,2023-09-18 14:52:09,1.310s,PASSED
"navigateToUrl(""https://www.google.com/"")",Chrome 116.0.0.0,,,2023-09-18 14:52:09,2023-09-18 14:52:15,5.866s,PASSED
"click(findTestObject(""Object Repository/Page_Google/a_""))",Chrome 116.0.0.0,,,2023-09-18 14:52:15,2023-09-18 14:52:17,1.819s,PASSED
closeBrowser(),Chrome 116.0.0.0,,,2023-09-18 14:52:17,2023-09-18 14:52:18,0.665s,PASSED
,,,,,,,
Test Cases/TC_0024,Chrome 116.0.0.0,,,2023-09-18 14:52:18,2023-09-18 14:52:28,10.358s,PASSED
"openBrowser("""")",Chrome 116.0.0.0,,,2023-09-18 14:52:18,2023-09-18 14:52:19,1.330s,PASSED
"navigateToUrl(""https://www.google.com/"")",Chrome 116.0.0.0,,,2023-09-18 14:52:19,2023-09-18 14:52:25,5.942s,PASSED
"click(findTestObject(""Object Repository/Page_Google/a_""))",Chrome 116.0.0.0,,,2023-09-18 14:52:25,2023-09-18 14:52:27,2.057s,PASSED
closeBrowser(),Chrome 116.0.0.0,,,2023-09-18 14:52:27,2023-09-18 14:52:28,0.676s,PASSED
,,,,,,,
Test Cases/TC_0025,Chrome 116.0.0.0,,,2023-09-18 14:52:28,2023-09-18 14:52:39,10.999s,PASSED
